               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10784,            0.026649,            0.043993,           0.0022705,             0.43973,           0.0065772,            0.001516,            0.091825,            0.021608,            0.038651,            0.070173,           0.0033141,           0.0033141
                   1,             0.08856,            0.032224,            0.036272,             0.79779,            0.049528,            0.039218,            0.011018,            0.083809,            0.021461,            0.032053,            0.040141,           0.0066145,           0.0066145
                   2,             0.08104,            0.032609,            0.032837,              0.7917,            0.061321,            0.033357,           0.0084836,            0.079532,            0.021513,             0.02965,            0.010075,           0.0098819,           0.0098819
                   3,            0.075752,            0.032629,            0.030269,              0.2951,            0.096698,            0.061778,            0.018546,            0.072665,            0.022053,            0.026638,           0.0098515,           0.0098515,           0.0098515
                   4,            0.071907,            0.032251,            0.027735,             0.35793,             0.16234,             0.12383,            0.039816,            0.068643,            0.021253,            0.023932,           0.0098515,           0.0098515,           0.0098515
                   5,            0.069069,            0.031207,            0.025384,             0.37376,             0.19505,             0.16957,            0.059912,            0.069073,            0.020901,            0.023786,            0.009802,            0.009802,            0.009802
                   6,            0.067565,            0.032443,            0.024006,             0.28633,             0.28991,             0.21937,            0.083816,            0.067694,            0.020945,            0.022399,           0.0097525,           0.0097525,           0.0097525
                   7,            0.066205,             0.03214,            0.023176,             0.28905,               0.296,             0.22551,            0.071642,            0.067546,            0.020862,            0.021816,            0.009703,            0.009703,            0.009703
                   8,            0.064766,            0.031516,            0.022624,             0.40606,             0.20809,             0.19862,            0.066186,            0.068078,            0.020679,            0.022414,           0.0096535,           0.0096535,           0.0096535
                   9,            0.064263,            0.031384,            0.019948,             0.44412,             0.26229,              0.2611,            0.094316,            0.066624,            0.020406,            0.022465,            0.009604,            0.009604,            0.009604
                  10,            0.062631,            0.030852,             0.01953,              0.3399,             0.28263,              0.2649,             0.10188,            0.064607,             0.02111,            0.022297,           0.0095545,           0.0095545,           0.0095545
                  11,            0.062097,            0.030816,             0.01908,             0.38815,             0.28155,              0.2834,             0.11109,            0.066658,            0.020902,            0.023565,            0.009505,            0.009505,            0.009505
                  12,            0.062124,            0.029028,            0.018639,             0.42389,             0.26774,             0.23814,             0.10802,            0.067191,            0.020834,            0.022081,           0.0094555,           0.0094555,           0.0094555
                  13,            0.061706,            0.030157,            0.018271,             0.28705,             0.29063,             0.22793,            0.079436,            0.065921,            0.020979,            0.023638,            0.009406,            0.009406,            0.009406
                  14,            0.060119,            0.030211,            0.016766,             0.39767,             0.32888,             0.28585,             0.10323,            0.065329,            0.020935,            0.020338,           0.0093565,           0.0093565,           0.0093565
                  15,             0.05925,            0.030134,            0.015004,             0.40975,             0.29994,             0.28733,            0.091047,            0.064827,            0.020694,             0.01981,            0.009307,            0.009307,            0.009307
                  16,            0.059273,            0.030951,            0.015217,             0.29708,             0.33401,             0.25464,            0.096474,            0.064629,            0.020815,            0.020488,           0.0092575,           0.0092575,           0.0092575
                  17,            0.057798,            0.028797,              0.0148,             0.37461,             0.33947,             0.27685,             0.10516,            0.066221,            0.020877,            0.021589,            0.009208,            0.009208,            0.009208
                  18,            0.058311,            0.028632,            0.015439,              0.4946,             0.28349,             0.30416,             0.12877,            0.064418,            0.020469,            0.020217,           0.0091585,           0.0091585,           0.0091585
                  19,            0.056622,            0.029886,            0.014679,             0.26212,             0.33814,             0.27146,             0.09402,            0.065541,            0.021034,            0.020993,            0.009109,            0.009109,            0.009109
                  20,            0.056191,            0.029142,            0.014199,             0.39752,             0.25144,             0.24798,            0.079687,            0.063602,            0.022037,            0.023693,           0.0090595,           0.0090595,           0.0090595
                  21,            0.055765,            0.028705,            0.014129,             0.39896,             0.23619,             0.22824,            0.082799,            0.065076,            0.021436,            0.022019,             0.00901,             0.00901,             0.00901
                  22,             0.05527,            0.028668,            0.013916,             0.36429,             0.29432,             0.23064,            0.086889,            0.065652,            0.021258,            0.022586,           0.0089605,           0.0089605,           0.0089605
                  23,            0.055274,             0.02813,            0.013634,             0.39953,             0.27403,             0.25395,             0.10858,            0.065204,            0.020674,            0.020482,            0.008911,            0.008911,            0.008911
                  24,             0.05454,            0.029321,            0.013086,             0.43708,             0.27229,              0.2677,             0.10304,            0.065016,            0.021116,            0.022208,           0.0088615,           0.0088615,           0.0088615
                  25,            0.054224,            0.028582,            0.012434,             0.30573,             0.26142,             0.22672,            0.087515,            0.065741,            0.021343,             0.02342,            0.008812,            0.008812,            0.008812
                  26,            0.053996,            0.028071,            0.012284,             0.35818,              0.2541,             0.23263,            0.091218,            0.065661,             0.02075,            0.023832,           0.0087625,           0.0087625,           0.0087625
                  27,            0.053495,            0.028186,            0.011643,             0.29873,             0.26549,             0.22729,             0.07724,            0.065609,            0.021003,            0.022778,            0.008713,            0.008713,            0.008713
                  28,            0.053678,            0.027554,            0.010989,             0.35427,             0.31323,             0.28447,             0.10932,            0.065039,             0.02141,            0.022166,           0.0086635,           0.0086635,           0.0086635
                  29,            0.052932,             0.02754,            0.010883,             0.51662,             0.27619,             0.29287,              0.1111,            0.064636,             0.02161,            0.023007,            0.008614,            0.008614,            0.008614
                  30,            0.052272,            0.027952,            0.011397,             0.37803,             0.37828,             0.29045,             0.11299,            0.065604,            0.021374,            0.022057,           0.0085645,           0.0085645,           0.0085645
                  31,            0.050317,            0.026787,            0.010612,             0.54096,             0.23804,             0.28934,            0.099218,            0.064853,            0.021036,            0.022259,            0.008515,            0.008515,            0.008515
                  32,            0.051185,              0.0275,            0.009738,             0.40985,             0.26949,             0.26667,             0.10214,            0.065575,            0.021489,            0.023171,           0.0084655,           0.0084655,           0.0084655
                  33,            0.050856,            0.026543,            0.009917,              0.4318,             0.31432,             0.30952,             0.11531,            0.063149,            0.021622,            0.021696,            0.008416,            0.008416,            0.008416
                  34,            0.050404,            0.027029,             0.01026,             0.47919,             0.31408,             0.33138,             0.10763,            0.064109,            0.022107,            0.022613,           0.0083665,           0.0083665,           0.0083665
                  35,            0.050263,            0.027502,           0.0090026,             0.47382,             0.23687,             0.26342,            0.093202,            0.063692,            0.021931,            0.022434,            0.008317,            0.008317,            0.008317
                  36,            0.049475,            0.027009,           0.0098712,             0.44247,             0.30973,             0.29633,             0.11164,            0.064626,              0.0215,            0.023335,           0.0082675,           0.0082675,           0.0082675
